name,sov_a3,Latitud,Longitud,Mujeres_total
Aguascalientes,MEX,218.818,-1.022.916,"728,924"
Baja California,MEX,308.406,-1.152.838,"1,868,431"
Baja California Sur,MEX,256.212,-1.110.571,"392,568"
Campeche,MEX,198.301,-905.349,"471,424"
Coahuila de Zaragoza,MEX,270.587,-1.017.068,"1,583,102"
Colima,MEX,192.452,-1.037.244,"370,769"
Chiapas,MEX,167.573,-931.292,"2,837,881"
Chihuahua,MEX,28.632,-1.060.691,"1,888,047"
Ciudad de México,MEX,194.326,-991.332,"4,805,017"
Durango,MEX,240.277,-1.046.532,"927,784"
Guanajuato,MEX,21.019,-1.012.574,"3,170,480"
Guerrero,MEX,176.753,-995.516,"1,840,073"
Hidalgo,MEX,200.911,-987.624,"1,601,462"
Jalisco,MEX,206.595,-1.033.494,"4,249,696"
México,MEX,194.326,-991.332,"8,741,123"
Michoacán de Ocampo,MEX,195.665,-1.017.068,"2,442,505"
Morelos,MEX,186.813,-991.013,"1,020,673"
Nayarit,MEX,217.514,-1.048.455,"623,178"
Nuevo León,MEX,255.922,-999.962,"2,893,492"
Oaxaca,MEX,170.732,-967.266,"2,157,305"
Puebla,MEX,190.414,-982.063,"3,423,163"
Querétaro,MEX,205.888,-1.003.899,"1,211,647"
Quintana Roo,MEX,191.817,-884.791,"921,206"
San Luis Potosí,MEX,221.565,-1.009.855,"1,449,804"
Sinaloa,MEX,251.721,-1.074.795,"1,532,128"
Sonora,MEX,292.972,-110.33,"1,472,643"
Tabasco,MEX,178.409,-926.189,"1,228,927"
Tamaulipas,MEX,242.669,-988.363,"1,791,595"
Tlaxcala,MEX,193.149,-982.405,"693,083"
Veracruz de Ignacio de la Llave,MEX,191.738,-961.342,"4,190,805"
Yucatán,MEX,207.099,-890.943,"1,180,619"
Zacatecas,MEX,227.709,-1.025.832,"831,08"
